,serial_number,case_name,case_number,judge_date,court_name,case_type,case_type_code,judge_type,judge
1506,120572,"특정경제범죄가중처벌등에관한법률위반(사기),폭력행위등처벌에관한법률위반,사기,부정수표단속법위반,미수",96고합416,1997.08.27,인천지방법원,형사,400102,판결：항소,선고
1507,166424,특정경제범죄가중처벌 등에 관한 법률 위반(사기)·사기·공문서위조·위조공문서행사·공직선거 및 선거부정방지법 위반,97도1095,1997.07.25,대법원,형사,400102,판결,선고
1508,115565,특정경제범죄가중처벌등에관한법률위반(사기)·사기·공문서위조·위조공문서행사·사문서위조·위조사문서행사·공정증서원본불실기재·불실기재공정증서원본행사,97도605,1997.07.25,대법원,형사,400102,판결,선고
1509,115507,사기미수·변호사법위반,96도2422,1997.07.22,대법원,형사,400102,판결,선고
1510,115497,특정경제범죄가중처벌등에관한법률위반(사기)(인정된 죄명 : 사기)·사문서위조·동행사,95도1874,1997.07.11,대법원,형사,400102,판결,선고
1511,115438,사기미수·사문서위조·위조사문서행사,97도632,1997.07.08,대법원,형사,400102,판결,선고
1512,115437,특정경제범죄가중처벌등에관한법률위반(사기),97도472,1997.07.08,대법원,형사,400102,판결,선고
1513,115434,사기,97도508,1997.06.27,대법원,형사,400102,판결,선고
1514,115356,사기·배임,96도1218,1997.06.24,대법원,형사,400102,판결,선고
1515,115235,사기·문화재보호법위반,97도37,1997.05.28,대법원,형사,400102,판결,선고
1516,115175,혼인빙자간음·사기,96도2784,1997.05.09,대법원,형사,400102,판결,선고
1517,115053,특정경제범죄가중처벌등에관한법률위반(사기)·부정수표단속법위반·강제집행면탈,97도249,1997.04.11,대법원,형사,400102,판결,선고
1518,115047,사기·변호사법위반·법무사법위반,95도1558,1997.04.11,대법원,형사,400102,판결,선고
1519,114979,사기미수(예비적 죄명 :사기),96도2625,1997.03.28,대법원,형사,400102,판결,선고
1520,114981,사기·사문서위조·위조사문서행사,96도3191,1997.03.28,대법원,형사,400102,판결,선고
1521,114786,특정경제범죄가중처벌등에관한법률위반(사기·횡령·배임·증재)·사기·업무상횡령·부정수표단속법위반·상법위반·공정증서원본불실기재·불실기재공정증서원본행사·뇌물공여·근로기준법위반,96도2904,1997.02.14,대법원,형사,400102,판결,선고
1522,114723,성폭력범죄의처벌및피해자보호등에관한법률위반·특수강도·폭력행위등처벌에관한법률위반·특정범죄가중처벌등에관한법률위반(절도)·사기·강도상해·신용카드업법위반,96도2715,1997.01.21,대법원,형사,400102,판결,선고
1523,222101,"특정경제범죄가중처벌등에관한법률위반(사기,변경된 죄명：사기)",95고합490,1997.01.10,서울지방법원북부지원,형사,400102,판결：항소기각,선고
1524,223163,특정경제범죄가중처벌등에관한법률위반(사기·일부인정된죄명:사기)·공정증서원본불실기재·불실기재공정증서원본행사·공문서위조·위조공문서행사·사문서위조·위조사문서행사·부정수표단속법위반,96고합82,1996.12.13,서울지방법원남부지원,형사,400102,판결,선고
1525,114543,강간·미성년자의제강간·미성년자의제강제추행·사기·폭력행위등처벌에관한법률위반·협박,96도2314,1996.11.29,대법원,형사,400102,판결,선고
1526,114297,사기·사문서위조·위조사문서행사·위계공무집행방해·공정증서원본불실기재·불실기재공정증서원본행사,96도312,1996.10.11,대법원,형사,400102,판결,선고
1527,191977,강도상해(인정된 죄명 : 준강도)·특수공무집행방해·사기·특수절도·특정범죄가중처벌등에관한법률위반(절도),96도1698,1996.10.11,대법원,형사,400102,판결,선고
1528,114250,공문서위조·위조공문서행사·사기·사기미수·특정경제범죄가중처벌등에관한법률위반(알선수재)·세무사법위반,96도1278,1996.09.24,대법원,형사,400102,판결,선고
1529,223189,"사기미수(예비적 죄명：사기),교통사고처리특례법위반",96노202,1996.09.19,인천지방법원,형사,400102,판결：상고기각,선고
1530,114171,상법위반·사문서위조·위조사문서행사·공정증서원본불실기재·불실기재공정증서원본행사·업무상배임·사기,95도2747,1996.09.10,대법원,형사,400102,판결,선고
1531,114169,특정경제범죄가중처벌등에관한법률위반(업무상배임·사기·업무상횡령),96도1606,1996.09.06,대법원,형사,400102,판결,선고
1532,114108,사기방조·사기,96도88,1996.08.23,대법원,형사,400102,판결,선고
1533,114113,특정경제범죄가중처벌등에관한법률위반(횡령·배임·증재·사기)·업무상횡령,96도1525,1996.08.23,대법원,형사,400102,판결,선고
1534,114110,사기미수,96도1265,1996.08.23,대법원,형사,400102,판결,선고
1535,114033,사기,96도1081,1996.07.30,대법원,형사,400102,판결,선고
1536,114028,사기·사문서위조·위조사문서행사,96도1158,1996.07.26,대법원,형사,400102,판결,선고
1537,223219,"횡령,사기",96노512,1996.07.19,인천지방법원,형사,400102,판결：확정,선고
1538,113902,수산업법위반·무고·사기미수,95도2604,1996.06.28,대법원,형사,400102,판결,선고
1539,113841,특정경제범죄가중처벌등에관한법률위반(사기)·방문판매등에관한법률위반,96도835,1996.06.14,대법원,형사,400102,판결,선고
1540,113834,사기,96도945,1996.06.11,대법원,형사,400102,판결,선고
1541,113749,변호사법위반·유가증권위조·동행사·사기,94도2119,1996.05.31,대법원,형사,400102,판결,선고
